Reporting Range=["Monthly"],Select year=["2025"],Select month=["March"],Search Term=["saw palmetto"]
"Search Frequency Rank","Search Term","Top Clicked Brand #1","Top Clicked Brands #2","Top Clicked Brands #3","Top Clicked Category #1","Top Clicked Category #2","Top Clicked Category #3","Top Clicked Product #1: ASIN","Top Clicked Product #1: Product Title","Top Clicked Product #1: Click Share","Top Clicked Product #1: Conversion Share","Top Clicked Product #2: ASIN","Top Clicked Product #2: Product Title","Top Clicked Product #2: Click Share","Top Clicked Product #2: Conversion Share","Top Clicked Product #3: ASIN","Top Clicked Product #3: Product Title","Top Clicked Product #3: Click Share","Top Clicked Product #3: Conversion Share","Reporting Date"
"5172","saw palmetto for men","HAVASU NUTRITION","Nature's Bounty","Horbaach","Health & Personal Care","Grocery","Beauty","B01LQPZ8BS","Saw Palmetto for Men Prostate Health Supplement to Promote Urinary Tract Function - 500mg Per Serving - 100 Count - DHT Blocker Hair Vitamin - Vegan, Non-GMO Capsules, Over 3 Month Supply","22.06","14.67","B07SSVC2LB","Horbäach Saw Palmetto Extract | 120 Capsules | Non-GMO and Gluten Free Formula | from Saw Palmetto Berries","12.5","10.51","B002Y27KEQ","Nature's Bounty Saw Palmetto Support for Prostate and Urinary Health, Herbal Health Supplement, 450mg, 250 Capsules","11.33","10.54","2025-03-31"
"11324","saw palmetto","HAVASU NUTRITION","Horbaach","Nature's Bounty","Health & Personal Care","Grocery","Beauty","B07SSVC2LB","Horbäach Saw Palmetto Extract | 120 Capsules | Non-GMO and Gluten Free Formula | from Saw Palmetto Berries","14.19","11.14","B01LQPZ8BS","Saw Palmetto for Men Prostate Health Supplement to Promote Urinary Tract Function - 500mg Per Serving - 100 Count - DHT Blocker Hair Vitamin - Vegan, Non-GMO Capsules, Over 3 Month Supply","11.78","8.47","B002Y27KEQ","Nature's Bounty Saw Palmetto Support for Prostate and Urinary Health, Herbal Health Supplement, 450mg, 250 Capsules","9.39","9.1","2025-03-31"
"21064","saw palmetto for women","Natures Craft","HAVASU NUTRITION","Gesundgeist","Health & Personal Care","Grocery","Beauty","B01GDPQFSG","Extra Strength Saw Palmetto for Women 500mg - DHT Blocker for Women 30-Day Supply - Hair Vitamins for Hair Loss Supplement - Pure Saw Palmetto Extract Capsules with Maca Root & Biotin - 90 Capsules","23.28","16.8","B09N426772","Saw Palmetto for Women with Biotin 5000mcg - Powerful DHT Blocker to Support Hair, Skin, and Nail Health - 60 Count - Vegan, Non-GMO Vitamin for Stronger, Fuller Looking Locks - 1 Month Supply","18.74","13.32","B0DNF5NSGV","Gesundgeist Saw Palmetto for Women Hair Loss - DHT Blocker with 5-in-1 Blend for Hair Growth, Skin & Nails, Urinary Wellness - Extra Strength Saw Palmetto Supplement - 90 Capsules","4.95","4.77","2025-03-31"
"64112","pumpkin seed oil with saw palmetto","MICROINGREDIENTS","NATUREBELL","Vitamatic","Health & Personal Care","Beauty","Grocery","B01BHF3KRG","Pumpkin Seed Oil with Saw Palmetto, 3000mg Per Serving, 300 Softgels | Cold Pressed, Pure Virgin Oil, Essential Fatty Acids & Phytosterols | Supports Hair, Urinary, Bladder & Prostate Health | Non-GMO","31.57","27.16","B07K6XGYPL","NatureBell Virgin Pumpkin Seed Oil 3,000mg Per Serving with Saw Palmetto, 240 Softgel Capsules | Cold Pressed – Rich in Omega 6 & 9 Essential Fatty Acids – Prostate & Bladder Supplements, Non-GMO","15.0","15.02","B0D6NDJ54R","Vitamatic 2 Packs Sugar Free Pumpkin Seed Gummies - Made with Saw Palmetto - Natural Raspberry Flavor - 60 Count","8.9","6.51","2025-03-31"
"197638","saw palmetto extract","NOW","Wild & Organic","Horbaach","Health & Personal Care","Grocery","Beauty","B0C16C7GLV","Wild & Organic Saw Palmetto Tincture - Saw Palmetto Extract Supplement for Men & Women - Liquid Powder Based Drops - Serenoa Repens Berries - Vegan, Sugar & Alcohol-Free - 4 fl oz","13.51","11.55","B0013OXII8","NOW Foods Supplements, Saw Palmetto Extract 320 mg with Pumpkin Seed Oil, Men's Health*, 90 Veg Softgels","11.45","11.81","B07SSVC2LB","Horbäach Saw Palmetto Extract | 120 Capsules | Non-GMO and Gluten Free Formula | from Saw Palmetto Berries","7.71","6.3","2025-03-31"
"249031","saw palmetto oil","Hair Thickness Maximizer","Wild & Organic","PHYTO LIFE","Health & Personal Care","Beauty","Grocery","B07RP648GW","Saw Palmetto Serum for Hair Growth: Rosemary, Peppermint, Pumpkin Seed Oils. Vegan Thickening, Moisturizing, Strengthening Treatment for Women, Men - Weak, Dry, Frizzy Hair - 1oz","28.31","14.2","B0C16C7GLV","Wild & Organic Saw Palmetto Tincture - Saw Palmetto Extract Supplement for Men & Women - Liquid Powder Based Drops - Serenoa Repens Berries - Vegan, Sugar & Alcohol-Free - 4 fl oz","22.52","20.71","B01EXRZNTS","Pure Saw Palmetto Oil Organic Natural 60-90-day Supply Unlike Inefficient Powders Support Prostate Health Sleep Better Reduce Frequent Urination DHT Blocker Stop Hair Loss (1 Fl Oz)","7.08","5.33","2025-03-31"
"263272","saw palmetto for women hair loss","Natures Craft","HAVASU NUTRITION","Gesundgeist","Health & Personal Care","Luxury_Beauty","Beauty","B01GDPQFSG","Extra Strength Saw Palmetto for Women 500mg - DHT Blocker for Women 30-Day Supply - Hair Vitamins for Hair Loss Supplement - Pure Saw Palmetto Extract Capsules with Maca Root & Biotin - 90 Capsules","22.31","15.63","B09N426772","Saw Palmetto for Women with Biotin 5000mcg - Powerful DHT Blocker to Support Hair, Skin, and Nail Health - 60 Count - Vegan, Non-GMO Vitamin for Stronger, Fuller Looking Locks - 1 Month Supply","19.01","11.16","B0DNF5NSGV","Gesundgeist Saw Palmetto for Women Hair Loss - DHT Blocker with 5-in-1 Blend for Hair Growth, Skin & Nails, Urinary Wellness - Extra Strength Saw Palmetto Supplement - 90 Capsules","6.5","4.02","2025-03-31"
"427669","saw palmetto shampoo","PURA D’OR","HIMS & HERS","WONDER FAMILY","Beauty","Luxury_Beauty","Health & Personal Care","B09H3RK75S","hims Thick Fix Shampoo for Men - Thickening Shampoo With Saw Palmetto and Niacinamide - No Parabens or Sulfates, Vegan and Cruelty Free - Fresh Eucalyptus Grove, 2 pack, 6.4oz","18.85","17.2","B07BHCB9Y2","PURA D'OR Anti-Thinning Biotin Shampoo & Deep Moisturizing Conditioner Original Gold Label Set (16oz x2) Natural Earthy Scent, CLINICALLY TESTED Effective Results, DHT Blocker Thickening, Women & Men","12.31","15.05","B00FH692PQ","PURA D'OR 16 Oz Original Gold Label Anti-Thinning Biotin Shampoo Natural Earthy Scent, CLINICALLY TESTED Effective Results, Herbal Hair Thickening Products, 3-1 Wash, Women & Men, Color Treated Hair","8.41","7.53","2025-03-31"
"510707","saw palmetto powder","MICROINGREDIENTS","BulkSupplements","PURE ORIGINAL INGREDIENTS","Health & Personal Care","Grocery","Fresh_Produce","B07WLMT9FS","Sustainably US Grown, Organic Saw Palmetto Powder, 4 Ounce, with Active Fatty Acid, Pure Saw Palmetto Prostate & Hair Growth Supplement, Healthy Urination Frequency & Hair Loss Blocker Supplement","28.25","27.27","B08WDMY4Q8","Pure Original Ingredients Saw Palmetto (4 oz) Premium Berry Extract Powder","16.54","12.5","B0748RPMDS","BulkSupplements.com Saw Palmetto Extract Powder - Serenoa Repens, Saw Palmetto Supplement, Saw Palmetto Powder - Vegan & Gluten Free, 1000mg per Serving, 250g (8.8 oz) (Pack of 1)","14.68","6.82","2025-03-31"
"525375","lenoria pumpkin seed and saw palmetto","MICROINGREDIENTS","NATUREBELL","Gesundgeist","Health & Personal Care",,,"B01BHF3KRG","Pumpkin Seed Oil with Saw Palmetto, 3000mg Per Serving, 300 Softgels | Cold Pressed, Pure Virgin Oil, Essential Fatty Acids & Phytosterols | Supports Hair, Urinary, Bladder & Prostate Health | Non-GMO","80.69","76.67","B0DPRHYW6X","Micro Ingredients Pumpkin Seed Oil with Saw Palmetto & Hair Vitamins Complex Capsules Bundle 2 Pack | Cold Pressed, Pure Virgin Oil, Herbal Supplement | 14-in-1 Advanced Hair Growth Support","5.16","3.33","B07K6XGYPL","NatureBell Virgin Pumpkin Seed Oil 3,000mg Per Serving with Saw Palmetto, 240 Softgel Capsules | Cold Pressed – Rich in Omega 6 & 9 Essential Fatty Acids – Prostate & Bladder Supplements, Non-GMO","3.25","2.22","2025-03-31"
"592293","saw palmetto and pumpkin seed oil","MICROINGREDIENTS","HAVASU NUTRITION","Clean Nutraceuticals","Health & Personal Care","Beauty",,"B01BHF3KRG","Pumpkin Seed Oil with Saw Palmetto, 3000mg Per Serving, 300 Softgels | Cold Pressed, Pure Virgin Oil, Essential Fatty Acids & Phytosterols | Supports Hair, Urinary, Bladder & Prostate Health | Non-GMO","16.81","13.4","B09N44X5GZ","Saw Palmetto Supplement with Stinging Nettle and Pumpkin Seed Extract - Advanced 3X Formula - DHT Blocker Urinary Health and Prostate Support for Mens Health - Vegan, Non-GMO Capsules - 2 Month Supply","12.72","15.46","B0BVXL2CKM","Clean Nutraceuticals Saw Palmetto Pumpkin Seed Oil Pygeum Sunflower Lecithin Stinging Nettle Cranberry - Prostate Supplements for Men with Lycopene - 90 Caps","12.28","8.25","2025-03-31"
